1 1.251237e+00 	 4.989191e-04
1 1.251237e+00 	 4.989191e-04
2 1.251237e+00 	 6.080282e-04
4 1.251237e+00 	 7.158914e-04
8 1.251237e+00 	 7.979480e-04
16 1.251237e+00 	 8.452743e-04
32 1.251238e+00 	 8.684642e-04
64 1.251241e+00 	 8.814185e-04
128 1.251242e+00 	 8.886014e-04
256 1.251242e+00 	 8.967517e-04
512 1.251242e+00 	 9.010759e-04
1024 1.251244e+00 	 9.066651e-04
2048 1.251242e+00 	 9.102476e-04
4096 1.251242e+00 	 9.203438e-04
8192 1.251250e+00 	 9.234661e-04
16384 1.251250e+00 	 8.814798e-04
32768 1.251250e+00 	 8.781182e-04
65536 1.251227e+00 	 8.048367e-04
